Title,Compound_Score,Positive_Score,Neutral_Score,Negative_Score,Overall_Rated
rocket lab announces third quarter 2024 financial results posts 55 yearonyear growth and guides to record revenue in q4,0.9937,0.119,0.878,0.003,Positive
3 us stocks estimated to be trading at discounts up to 488,0.9913,0.137,0.863,0.0,Positive
rocket lab price target raised to 13 from 7 at citi,0.8316,0.074,0.926,0.0,Positive
rocket lab shares climb as 54th electron mission successfully launches satellite,0.9715,0.111,0.859,0.03,Positive
from contract to space in less than ten weeks rocket lab launches its 54th electron mission,0.9917,0.105,0.887,0.008,Positive
rocket lab ceo peter beck talks scaling the space industry,0.8473,0.087,0.895,0.018,Positive
rocket lab adds new mission to 2024 launch manifest schedules launch in coming days,0.9672,0.061,0.935,0.004,Positive
rocket lab awarded nasa contract to innovate mars sample return mission,0.9359,0.057,0.943,0.0,Positive
rocket lab usa inc rklb q2 2024 earnings call highlights record revenue and strategic progress,0.955,0.112,0.83,0.058,Positive
rocket lab awarded contract from nasa,0.9312,0.065,0.935,0.0,Positive
rocket lab selected by nasa to complete martian rock retrieving study,0.9061,0.089,0.911,0.0,Positive
rocket lab announces date of third quarter 2024 financial results,0.8516,0.054,0.928,0.018,Positive
rocket lab awarded nasa study contract to explore bringing rock samples from mars to earth for the first time,0.9843,0.075,0.921,0.004,Positive
rocket lab usa incs nasdaqrklb high institutional ownership speaks for itself as stock continues to impress up 29 over last week,0.9931,0.133,0.834,0.033,Positive
keybanc lifts rocket labs price target to 11,0.743,0.113,0.852,0.035,Positive
rocket lab completes second spacecraft for varda space industries advancing inspace manufacturing,0.9798,0.071,0.929,0.0,Positive
rocket lab successfully launches 53rd electron mission deploys another five satellites for kineis,0.9869,0.113,0.855,0.032,Positive
rocket lab appoints chief operations officer to support company growth,0.9929,0.108,0.885,0.007,Positive
rocket labs meteoric rise why this space stock is just getting started,0.9783,0.115,0.834,0.051,Positive
rocket lab sets launch date for second dedicated kineis mission to deploy iot constellation,0.993,0.135,0.843,0.022,Positive
former lockheed martin chief financial officer joins rocket lab board of directors,0.9966,0.153,0.838,0.009,Positive
how to play the defense space now the playbook,0.9658,0.142,0.811,0.047,Positive
rocket lab ceo we have the right combination to break spacexs monopoly,0.8994,0.052,0.926,0.022,Positive
rocket lab rklb shares skyrocket what you need to know,0.9888,0.145,0.827,0.028,Positive
rocket labnasa lincoln navigator burning man top stories,0.7184,0.047,0.953,0.0,Positive
rocket lab ships twin satellites to launch site for nasa mars mission,0.9826,0.096,0.878,0.026,Positive
analysts are updating their rocket lab usa inc nasdaqrklb estimates after its secondquarter results,0.9921,0.136,0.827,0.037,Positive
rocket lab successfully completes latest launch with capella space,0.9823,0.079,0.905,0.016,Positive
rocket lab usa second quarter 2024 earnings eps beats expectations,0.2263,0.07,0.864,0.066,Positive
rocket lab stock soars on engine test q2 results,-0.34,0.027,0.93,0.043,Negative
rocket lab begins installation of large carbon composite rocketbuilding machine,0.9738,0.063,0.93,0.008,Positive
rocket lab completes successful first hot fire of archimedes engine for neutron rocket,0.7798,0.08,0.86,0.061,Positive
rocket lab announces second quarter 2024 financial results posts record revenue on 71 yearonyear growth,0.9935,0.134,0.846,0.02,Positive
rocket lab schedules next electron launch just eight days after previous mission,0.9492,0.043,0.957,0.0,Positive
rocket lab partners with ksat to streamline satellite communications for customers with upgraded ground station service,0.9834,0.081,0.914,0.005,Positive
rocket lab successfully completes latest launch for synspective,0.9882,0.094,0.898,0.009,Positive
rocket lab completes integration and testing of twin spacecraft for nasa mars mission,0.984,0.081,0.909,0.01,Positive
rocket lab sets launch date for 51st electron mission prepares to deploy latest satellites in multilaunch contract for synspective,0.9666,0.065,0.92,0.015,Positive
rocket lab launch update,0.9927,0.111,0.88,0.01,Positive
when will rocket lab usa inc nasdaqrklb become profitable,0.9609,0.087,0.871,0.042,Positive
rocket lab celebrates chips act funding preliminary agreement in albuquerque,0.9934,0.124,0.857,0.019,Positive
rocket lab to celebrate chips act funding preliminary agreement in albuquerque,0.9899,0.105,0.887,0.008,Positive
rocket lab sets launch window for next capella space mission from launch complex 1,0.9895,0.094,0.897,0.009,Positive
rocket lab announces date of second quarter 2024 financial results,0.8516,0.054,0.928,0.018,Positive
rocket labs electron rocket lands at the california science center,0.9622,0.05,0.95,0.0,Positive
the 5 space stocks investors need to watch,0.9274,0.14,0.86,0.0,Positive
rocket lab successfully launches 50th electron mission deploys satellites for kineis,0.992,0.125,0.852,0.023,Positive
rocket lab signs record deal for 10 electron launches with synspective,0.9962,0.139,0.861,0.0,Positive
rocket lab signs preliminary terms to receive up to 239m in funding under the chips act to expand production of semiconductors that power spacecraft,0.994,0.138,0.847,0.016,Positive
rocket lab sets launch date for 50th electron mission prepares to deploy five satellites for kineis,0.9954,0.152,0.83,0.018,Positive
heres why rocket lab usa incs nasdaqrklb ceo compensation is the least of shareholders concerns,0.9845,0.095,0.89,0.015,Positive
rocket lab successfully completes second launch for nasa climate science mission,0.9947,0.132,0.858,0.009,Positive
rocket lab sets date for second nasa prefire launch,0.9879,0.113,0.865,0.022,Positive
rocket lab successfully launches first of two climate science satellites for nasa,0.9953,0.141,0.835,0.024,Positive
rocket lab usa first quarter 2024 earnings eps beats expectations revenues lag,0.2023,0.07,0.862,0.067,Positive
rocket lab usa inc nasdaqrklb q1 2024 earnings call transcript,0.9908,0.099,0.894,0.007,Positive
rocket lab usa inc rklb q1 2024 earnings call transcript highlights soaring revenues and,0.9585,0.114,0.825,0.061,Positive
rocket lab usa inc rklb q1 2024 earnings surpasses revenue forecasts,0.9834,0.14,0.797,0.063,Positive
rocket lab completes archimedes engine build begins engine test campaign,0.0258,0.029,0.94,0.031,Neutral
rocket lab selects subcontractors to support sda satellite constellation development,0.9863,0.085,0.915,0.0,Positive
rocket lab announces first quarter 2024 financial results reflecting yearonyear revenue growth of 69 sequential quarterly growth of 55 and continued growth in q2 2024,0.9915,0.109,0.882,0.009,Positive
rocket lab prepares backtoback launches for climate change research mission for nasa,0.9859,0.094,0.892,0.014,Positive
firefly ceo sees enough demand for fully commercial lunar missions independent of nasa,0.9468,0.08,0.876,0.045,Positive
rocket lab usa inc nasdaqrklb surges 31 individual investors who own 32 shares profited along with institutions,0.9937,0.129,0.841,0.03,Positive
rocket lab successfully deploys satellites 500km apart to separate orbits for kaist and nasa,0.9531,0.07,0.908,0.022,Positive
rocket lab announces board change,0.9946,0.122,0.873,0.005,Positive
rocket lab selected by space systems command to build and launch spacecraft for tactically responsive space tacrs mission,0.9891,0.108,0.877,0.015,Positive
rocket lab returns previously flown electron to production line in preparation for first reflight,0.9944,0.134,0.839,0.028,Positive
us space force awards rocket lab launch contract for space test program stps30,0.9958,0.142,0.849,0.01,Positive
rocket lab announces date of first quarter 2024 financial results,0.8516,0.053,0.929,0.018,Positive
rocket lab prepares to launch mission for kaist and nasa to deploy satellites to two separate orbits,0.7717,0.045,0.932,0.022,Positive
rocket lab successfully launches fifth national security mission for nro,0.9938,0.113,0.882,0.005,Positive
rocket lab successfully launches 45th electron mission 4th for longtime partner synspective,0.9841,0.084,0.911,0.005,Positive
viasat and rocket lab partner to showcase ondemand lowlatency data relay services for leo satellites,0.9929,0.14,0.845,0.015,Positive
rocket lab why the space sector is farreaching,0.9814,0.081,0.907,0.012,Positive
rocket lab usa inc nasdaqrklb annual results heres what analysts are forecasting for this year,0.989,0.115,0.847,0.038,Positive
rocket lab usa inc rklb reports yearoveryear revenue growth and margin expansion,0.8622,0.099,0.831,0.069,Positive
rocket lab unveils spacecraft bus lineup,0.9842,0.105,0.865,0.031,Positive
rocket lab announces fourth quarter and full year 2023 financial results issues guidance for the first quarter 2024 including sequential revenue growth greater than 50 percent,0.9915,0.114,0.875,0.011,Positive
rocket lab successfully returns spacecraft capsule to earth brings back pharmaceuticals made in space,0.9552,0.061,0.924,0.015,Positive
rocket lab to launch nro mission from wallops virginia,0.9875,0.088,0.902,0.01,Positive
rocket lab schedules launch date for 45th electron mission to deploy earthimaging satellite for synspective,0.988,0.096,0.899,0.005,Positive
trinity capital inc provides 120 million equipment financing to rocket lab,0.994,0.122,0.868,0.01,Positive
rocket lab successfully launches mission designed to investigate removing space junk from orbit,0.9886,0.096,0.89,0.014,Positive
rocket lab prepares to bring inspace manufacturing capsule back to earth for varda space industries,0.9349,0.048,0.947,0.005,Positive
rocket lab sets launch window for astroscale orbital debris inspection demonstration mission,0.9571,0.057,0.928,0.015,Positive
rocket lab announces closing of upsized offering of 355 million convertible senior notes,0.9955,0.133,0.867,0.0,Positive
rocket lab announces pricing of upsized offering of 300 million convertible senior notes,0.9451,0.061,0.935,0.004,Positive
investing in the stars space economy stocks to buy avoid,0.9966,0.164,0.797,0.04,Positive
rocket lab announces proposed offering of 275 million convertible senior notes,0.991,0.103,0.887,0.01,Positive
rocket lab announces preliminary fourth quarter 2023 financial results after successful launch for spire and northstar,0.9944,0.118,0.882,0.0,Positive
rocket lab successfully launches first electron mission of busy 2024 launch schedule,0.9888,0.096,0.888,0.017,Positive
rocket lab announces date of fourth quarter 2023 financial results,0.8516,0.054,0.928,0.018,Positive
rocket lab to present at upcoming conferences,0.9401,0.057,0.943,0.0,Positive
rocket lab to launch space situational awareness mission for spire and northstar,0.9427,0.053,0.935,0.011,Positive
rocket lab makes its defense prime debut with 05 billion contract to design and build satellite constellation for space development agency,0.9834,0.093,0.899,0.008,Positive
rocket lab to host discussion of government constellation award,0.8895,0.058,0.924,0.018,Positive
rocket lab coinbase bristol myerskaruna deal trending tickers,0.9847,0.099,0.896,0.005,Positive
rocket lab stock soars after winning us government contract,0.9727,0.081,0.908,0.011,Positive
