Title,Length,Overall_Rated,Confidence_Score
keybanc lifts rocket labs price target to 11,392,positive,0.6222675442695618
rocket lab completes second spacecraft for varda space industries advancing inspace manufacturing,2820,neutral,0.7271190285682678
rocket lab successfully launches 53rd electron mission deploys another five satellites for kineis,3047,neutral,0.802295446395874
rocket lab appoints chief operations officer to support company growth,3017,neutral,0.6355810165405273
rocket labs meteoric rise why this space stock is just getting started,2959,negative,0.7434019446372986
rocket lab sets launch date for second dedicated kineis mission to deploy iot constellation,2849,neutral,0.5260612964630127
former lockheed martin chief financial officer joins rocket lab board of directors,2990,neutral,0.7982468008995056
how to play the defense space now the playbook,1410,neutral,0.8322702050209045
rocket lab ceo we have the right combination to break spacexs monopoly,2693,neutral,0.8711673617362976
rocket lab rklb shares skyrocket what you need to know,1786,positive,0.6079254746437073
rocket labnasa lincoln navigator burning man top stories,729,neutral,0.9135141968727112
rocket lab ships twin satellites to launch site for nasa mars mission,2865,neutral,0.6445010900497437
analysts are updating their rocket lab usa inc nasdaqrklb estimates after its secondquarter results,2648,neutral,0.8236133456230164
rocket lab successfully completes latest launch with capella space,2779,neutral,0.8030059337615967
rocket lab usa second quarter 2024 earnings eps beats expectations,1422,positive,0.5991503596305847
rocket lab stock soars on engine test q2 results,517,neutral,0.8581537008285522
rocket lab begins installation of large carbon composite rocketbuilding machine,2839,neutral,0.7705958485603333
rocket lab completes successful first hot fire of archimedes engine for neutron rocket,2778,neutral,0.6125114560127258
rocket lab announces second quarter 2024 financial results posts record revenue on 71 yearonyear growth,3061,positive,0.5405063033103943
rocket lab schedules next electron launch just eight days after previous mission,2907,neutral,0.8565781116485596
rocket lab partners with ksat to streamline satellite communications for customers with upgraded ground station service,3123,neutral,0.7482983469963074
rocket lab successfully completes latest launch for synspective,2769,neutral,0.746448278427124
rocket lab completes integration and testing of twin spacecraft for nasa mars mission,2938,neutral,0.7148405909538269
rocket lab sets launch date for 51st electron mission prepares to deploy latest satellites in multilaunch contract for synspective,2704,neutral,0.8365157842636108
rocket lab launch update,3074,neutral,0.9253767728805542
when will rocket lab usa inc nasdaqrklb become profitable,2593,neutral,0.9144546389579773
rocket lab celebrates chips act funding preliminary agreement in albuquerque,3055,neutral,0.5151260495185852
rocket lab to celebrate chips act funding preliminary agreement in albuquerque,3018,neutral,0.8879414200782776
rocket lab sets launch window for next capella space mission from launch complex 1,2785,neutral,0.7904811501502991
rocket lab announces date of second quarter 2024 financial results,3107,neutral,0.942173182964325
rocket labs electron rocket lands at the california science center,2978,neutral,0.8964502215385437
the 5 space stocks investors need to watch,656,neutral,0.8684667348861694
rocket lab successfully launches 50th electron mission deploys satellites for kineis,2987,neutral,0.7605104446411133
rocket lab signs record deal for 10 electron launches with synspective,2789,positive,0.7598972916603088
rocket lab signs preliminary terms to receive up to 239m in funding under the chips act to expand production of semiconductors that power spacecraft,2999,positive,0.6582531332969666
rocket lab sets launch date for 50th electron mission prepares to deploy five satellites for kineis,2792,positive,0.5727766156196594
heres why rocket lab usa incs nasdaqrklb ceo compensation is the least of shareholders concerns,2557,neutral,0.6171240210533142
rocket lab successfully completes second launch for nasa climate science mission,2900,neutral,0.6979464292526245
rocket lab sets date for second nasa prefire launch,2735,neutral,0.9355491399765015
rocket lab successfully launches first of two climate science satellites for nasa,2797,neutral,0.8403695225715637
rocket lab usa first quarter 2024 earnings eps beats expectations revenues lag,1413,positive,0.7682145833969116
rocket lab usa inc nasdaqrklb q1 2024 earnings call transcript,2792,neutral,0.9310351610183716
rocket lab usa inc rklb q1 2024 earnings call transcript highlights soaring revenues and,2720,neutral,0.610029935836792
rocket lab usa inc rklb q1 2024 earnings surpasses revenue forecasts,2851,positive,0.6930127739906311
rocket lab completes archimedes engine build begins engine test campaign,2643,neutral,0.9003767967224121
rocket lab selects subcontractors to support sda satellite constellation development,2808,neutral,0.7353169322013855
rocket lab announces first quarter 2024 financial results reflecting yearonyear revenue growth of 69 sequential quarterly growth of 55 and continued growth in q2 2024,2889,positive,0.5339829921722412
rocket lab prepares backtoback launches for climate change research mission for nasa,2792,neutral,0.8507835268974304
firefly ceo sees enough demand for fully commercial lunar missions independent of nasa,2813,neutral,0.9101952314376831
rocket lab usa inc nasdaqrklb surges 31 individual investors who own 32 shares profited along with institutions,2879,neutral,0.9244870543479919
rocket lab successfully deploys satellites 500km apart to separate orbits for kaist and nasa,2747,neutral,0.9337034225463867
rocket lab announces board change,2746,neutral,0.7200748324394226
rocket lab selected by space systems command to build and launch spacecraft for tactically responsive space tacrs mission,2970,neutral,0.8900348544120789
rocket lab returns previously flown electron to production line in preparation for first reflight,2963,neutral,0.8151153326034546
us space force awards rocket lab launch contract for space test program stps30,2884,positive,0.5653108954429626
rocket lab announces date of first quarter 2024 financial results,3120,neutral,0.9417387843132019
rocket lab prepares to launch mission for kaist and nasa to deploy satellites to two separate orbits,2870,neutral,0.9279669523239136
rocket lab successfully launches fifth national security mission for nro,2914,neutral,0.8419208526611328
rocket lab successfully launches 45th electron mission 4th for longtime partner synspective,2850,neutral,0.8550233244895935
viasat and rocket lab partner to showcase ondemand lowlatency data relay services for leo satellites,2839,neutral,0.7230941653251648
rocket lab why the space sector is farreaching,2633,neutral,0.9155236482620239
rocket lab usa inc nasdaqrklb annual results heres what analysts are forecasting for this year,2687,neutral,0.7850178480148315
rocket lab usa inc rklb reports yearoveryear revenue growth and margin expansion,2731,negative,0.8791437149047852
rocket lab unveils spacecraft bus lineup,3040,neutral,0.8539351224899292
rocket lab announces fourth quarter and full year 2023 financial results issues guidance for the first quarter 2024 including sequential revenue growth greater than 50 percent,2924,positive,0.8158581852912903
rocket lab successfully returns spacecraft capsule to earth brings back pharmaceuticals made in space,2904,neutral,0.9123614430427551
rocket lab to launch nro mission from wallops virginia,2861,neutral,0.8029357194900513
rocket lab schedules launch date for 45th electron mission to deploy earthimaging satellite for synspective,2824,neutral,0.81560218334198
trinity capital inc provides 120 million equipment financing to rocket lab,3090,neutral,0.6567747592926025
rocket lab successfully launches mission designed to investigate removing space junk from orbit,2824,neutral,0.9193158149719238
rocket lab prepares to bring inspace manufacturing capsule back to earth for varda space industries,2624,neutral,0.8183284401893616
rocket lab sets launch window for astroscale orbital debris inspection demonstration mission,2822,neutral,0.9333166480064392
rocket lab announces closing of upsized offering of 355 million convertible senior notes,2878,neutral,0.946350634098053
rocket lab announces pricing of upsized offering of 300 million convertible senior notes,2737,neutral,0.9492788314819336
investing in the stars space economy stocks to buy avoid,2488,neutral,0.9012794494628906
rocket lab announces proposed offering of 275 million convertible senior notes,2765,neutral,0.9506537914276123
rocket lab announces preliminary fourth quarter 2023 financial results after successful launch for spire and northstar,3012,neutral,0.8913909196853638
rocket lab successfully launches first electron mission of busy 2024 launch schedule,2798,neutral,0.8600115776062012
rocket lab announces date of fourth quarter 2023 financial results,3102,neutral,0.9427335262298584
rocket lab to present at upcoming conferences,2193,neutral,0.850253701210022
rocket lab to launch space situational awareness mission for spire and northstar,2758,neutral,0.783184289932251
rocket lab makes its defense prime debut with 05 billion contract to design and build satellite constellation for space development agency,2889,neutral,0.5802091956138611
rocket lab to host discussion of government constellation award,3111,neutral,0.9417343735694885
rocket lab coinbase bristol myerskaruna deal trending tickers,2449,neutral,0.5784569382667542
rocket lab stock soars after winning us government contract,2596,neutral,0.8363876938819885
