Title,Description,Link,Source,Published,Stock_Symbol,Stock_Change
Rocket Lab Successfully Launches Two Missions in Less Than 24 Hours,"MAHIA, New Zealand, November 25, 2024--Rocket Lab successfully launches two missions to space in less than 24 hours from two pads in two different hemispheres, setting new company record.",https://finance.yahoo.com/news/rocket-lab-successfully-launches-two-063000200.html,Business Wire,23 days ago,RKLB,-13.08%
10 predictions for the space economy in 2025,"2025 could prove to be one of the most transformative years on record for the space economy. As we look ahead, here are 10 predictions for the space capital markets in 2025.",https://finance.yahoo.com/news/10-predictions-for-the-space-economy-in-2025-150052650.html,Yahoo Finance,25 days ago,T,
Rocket Lab price target raised to $30 from $25 at Roth MKM,"Roth MKM raised the firm’s price target on Rocket Lab (RKLB) to $30 from $25 and keeps a Buy rating on the shares. The firm believes the pending Neutron inaugural launch in mid-2025 will represent “a significant catalyst,” particularly with the recent securing of the launch vehicle’s first lead customer contract. The firm expects additional customer interest given the high demand and limited availability of medium-lift launch vehicle capacity, the analyst added. Published first on TheFly – the u",https://finance.yahoo.com/news/rocket-lab-price-target-raised-113702373.html,TipRanks,25 days ago,RKLB,-13.08%
Is Rocket Lab’s (NASDAQ:RKLB) Rally Just Getting Started?,"Over the past year, space technology provider Rocket Lab (RKLB) has skyrocketed beyond expectations, with shares soaring 357% to a market capitalization past $9.8 billion. As the sector sees continued enthusiasm and success for private launch capabilities, a thorough examination of what’s next for would-be investors is critical. I have long been bullish on Rocket Lab, but with the financials now making sense, unlike in previous years, I suspect the rally might just be getting started. Building P",https://finance.yahoo.com/news/rocket-lab-nasdaq-rklb-rally-215403139.html,TipRanks,29 days ago,RKLB,-13.08%
Rocket Lab Director Sells $96.7M in Shares Following a 240% Stock Price Surge,Insider Moves: Rocket Lab Director Offloads $96M Amid Market Gains,https://finance.yahoo.com/news/rocket-lab-director-sells-96-150738934.html,GuruFocus.com,29 days ago,RKLB,-13.08%
"SpaceX Rival Secures Key Contract, But Posts Big Earnings Miss","SpaceX partner, rival AST SpaceMobile missed estimates as losses widened. But there was some good news with the results.",https://finance.yahoo.com/m/7fcb8e0b-7b5d-38ac-a69d-e3d376b359c7/spacex-rival-secures-key.html,Investor's Business Daily,last month,ASTS,-5.73%
"SpaceX Rival Soars On Price Hikes After Q3 Beat, 55% Sales Spike","Analysts raise targets for SpaceX rival Rocket Lab after its Q3 beat, sales guidance above forecasts. Shares soared 240% in 2024.",https://finance.yahoo.com/m/0579dc3a-d21a-31ca-8376-990a7a62bfe5/spacex-rival-soars-on-price.html,Investor's Business Daily,last month,ASTS,-5.73%
"Earnings Update: Here's Why Analysts Just Lifted Their Rocket Lab USA, Inc. (NASDAQ:RKLB) Price Target To US$14.36","Rocket Lab USA, Inc. ( NASDAQ:RKLB ) investors will be delighted, with the company turning in some strong numbers with...",https://finance.yahoo.com/news/earnings-heres-why-analysts-just-125946137.html,Simply Wall St.,last month,RKLB,-13.08%
Rocket Lab stock up by over 30% on Q3 earnings results,"Rocket Lab USA (RKLB) is holding onto major gains from Wednesday's session resulting from the aerospace manufacturer's third quarter earnings performance. Rocket Lab shares have risen over 30% ahead of the market close and are up by more than 240% year-to-date. Julie Hyman and Josh Lipton eye Rocket Lab's stock reaction, along with that of AST SpaceMobile's (ASTS) own shares bump. To watch more expert insights and analysis on the latest market action, check out more Market Domination&nbsp;here. This post was written by Luke Carberry Mogan.",https://finance.yahoo.com/video/rocket-lab-stock-over-30-205033834.html,Yahoo Finance Video,last month,RKLB,-13.08%
"Seven & i, Rocket Lab USA, DirecTV: 3 Stories In Focus","Morning Brief Hosts Seana Smith and Brad Smith take a look at the top headlines affecting the markets and break down what investors need to know: Seven & i Holdings (3382.T), the Japanese parent company of convenience store 7-Eleven, is considering a management buyout to take the company private. Rocket Lab USA (RKLB) shares surge by nearly 40% after the aerospace manufacturer announced quarterly results and provided a strong fourth quarter sales outlook. DirecTV — majority owned by AT&T (T) — plans to terminate its plan to acquire cable provider Dish. To watch more expert insights and analysis on the latest market action, check out more Morning Brief&nbsp;here. This post was written by Naomi Buchanan.",https://finance.yahoo.com/video/seven-rocket-lab-usa-directv-152314289.html,Yahoo Finance Video,last month,SVNDF,
