id,created_at,text,username,likes,retweets
1867877190433374317,2024-12-14 10:20:00+00:00,"RKLB, Rocket Lab USA, Inc., 2024-12-13, stock prices dynamics, stock of the day #RKLB 

https://t.co/sSJ7EWlozw",datacharm_yt,1,0
1867786499116478583,2024-12-14 04:19:37+00:00,"If you are looking to hold a long term stock and make some money Rocket LAB is the way to go. The space economy is forecast to be worth $1trn by 2040, according to Morgan Stanley analysts. #rocketlab #ToTheMoon #RKLB https://t.co/KQ4Mpexmbo",AloWeilly,0,0
1867747868708102226,2024-12-14 01:46:07+00:00,$RKLB will be held for years. I ain’t ever selling. #RKLB,JustAFamilyMan_,10,0
1867704608262697424,2024-12-13 22:54:13+00:00,I will hold #RKLB #IONQ and #PLTR for years https://t.co/goRhKO8sVs,johhnyWalkerAZ,4,0
1867689206166024238,2024-12-13 21:53:01+00:00,@mvcinvesting #RKLB should be number one IMO 😎,johhnyWalkerAZ,5,0
1867687621843202209,2024-12-13 21:46:43+00:00,"+46,000 today. When #RKLB goes 🚀 I’m usually doing well. Maybe too invested in one stock. https://t.co/NjoOLyqXOp",johhnyWalkerAZ,0,0
1867682202009362905,2024-12-13 21:25:11+00:00,@PradeepBonde what you think of #RKLB? Seems like it found support and fundamentals are great.,vujader,0,0
1867681844248096861,2024-12-13 21:23:46+00:00,@preppytrader Do you have #RKLB? Seems like it found its support now and the fundamentals are positive.,vujader,1,0
1867651167867875356,2024-12-13 19:21:52+00:00,"Just a thought:

I only own $RKLB and $LCID, roughly 50/50.
Next week, if #RocketLab dips before the launch, I might sell 100% (or 50%, to be safe) of #LucidMotors for #RKLB, and probably buy #LCID back (profits excluded).

I'm thinking...",more_peace_more,1,0
1867627567450054821,2024-12-13 17:48:05+00:00,"@SpaceInvestor_D @RocketLab Gift ideas for your stock trader?  Profitable Trader's Strategy Journal: Paperback Edition for $14.99: https://t.co/ainWMdkpZV Hardcover Edition for $19.99: https://t.co/cVLIG6fWJI Great resource to make trading more profitable!  Made by a trader for traders! #META, #GOOGL, #RKLB",W3_Planning,0,0
1867627490312646817,2024-12-13 17:47:47+00:00,"@thy_imperator Gift ideas for your stock trader?  Profitable Trader's Strategy Journal: Paperback Edition for $14.99: https://t.co/ainWMdkpZV Hardcover Edition for $19.99: https://t.co/cVLIG6fWJI Great resource to make trading more profitable!  Made by a trader for traders! #META, #GOOGL, #RKLB",W3_Planning,0,0
1867621118418596321,2024-12-13 17:22:28+00:00,"#RKLB settled into a consolidation pattern over the last couple of weeks. Notice how the 50% Fibonacci acted as support. Will today be the day it bounces out of it? 
Not a recommendation. https://t.co/pxygQiyotb",ConnieHillCS,9,0
1867618284448911542,2024-12-13 17:11:12+00:00,"Several higher volume stocks are showing in our Early Morning Movers Bullish scan. Some examples, not recommendations are: #BTDR, #CRDO, #TSLA, #SOFI, #RKLB, #UPST, #SERV, #RDDT, #RH. Let's see if the momentum holds. https://t.co/yweiZRrtOR",ConnieHillCS,2,0
1867589259496239229,2024-12-13 15:15:52+00:00,Don’t fade out on me today #RKLB like you have been doing 😝 https://t.co/natp7dL7Zg,johhnyWalkerAZ,1,0
1867489300591652885,2024-12-13 08:38:40+00:00,"RT @1987Trader: Jen Hsun  Huang and Vietnamese President 😂 

#PFE 
#PUBM 
#RCAT 
#BE 
#NVDA 
#SOFI 
#SMCI 
#BBD 
#RKLB 
#LUNR 
#MSTR 
#SPY…",AilsaForshaw,0,1
1867399555064414637,2024-12-13 02:42:03+00:00,"RT @scotto2050: Rocket Lab Form 4 🚨

Director Edward Frank sees a
12% reduction of holdings
marked as a bona fide gift of shares
to a chari…",Highpeaksventur,0,1
1867398987768377806,2024-12-13 02:39:47+00:00,"Rocket Lab Form 4 🚨

Director Edward Frank sees a
12% reduction of holdings
marked as a bona fide gift of shares
to a charitable donor advised fund.

@RocketLab #RocketLab #RKLB $RKLB https://t.co/ojIMTrXE7w https://t.co/ZxH2WPDcMa",scotto2050,36,1
1867298244901929025,2024-12-12 19:59:28+00:00,"🙏 Thanks for reading!
This breakdown is NOT financial advice. Always do your research before making decisions. 🚀
Follow for more deep dives into the lives of innovators! 🌌

#finx #Stocks #RKLB #SPACE",SonsOfStocks,0,0
1867238889523732667,2024-12-12 16:03:37+00:00,"My top stock picks:

RKLB: Rocket Labs $22.92
@RocketLab 

SPCE: Virgin Galactic $6.43
@virgingalactic @richardbranson 

TSLA: Tesla $424.84
@Tesla @elonmusk 

NFA/DYOR

#stocks #RKLB #SPCE #TSLA #RocketLab #VirginGalactic #Tesla #NASDAQ #NYSE",full_boat,0,0
1867238025127928228,2024-12-12 16:00:11+00:00,"@EmmetPeppers @EmmetPeppers  Are you still in #RKLB can you share some thoughts about that !!  I know you were talking about it 3-4 years back and not sure where are you with it , not seeking financial advice just your thoughts",TusharGudadhe1,0,0
1867165163532517618,2024-12-12 11:10:39+00:00,"@cyberprince_rwo or anyone else…

What are your $RKLB price predictions based off current knowledge for the next 3 years

#RKLB #rocketlab #electron #haste #neutron",ReidN090,0,0
1867160465807151303,2024-12-12 10:51:59+00:00,"RT @scotto2050: Looks like Rocket Lab is gearing up
to close out 2024 with another set
of back-to-back launches 🚀🚀

December 14-20
HASTE-3…",Highpeaksventur,0,9
1867156366965768592,2024-12-12 10:35:42+00:00,"$RKLB 

Last time we stayed in a new range for more than two/three weeks was around $11. 

It feels like we’re consolidating around the $23 mark now. 
If all else remains unchanged can we shoot up to $40 ? 

It’s my price target as Neutron gets onto the pad. 

$RKLB #RKLB",superjambons,1,0
1867140314919493939,2024-12-12 09:31:55+00:00,"RT @scotto2050: Looks like Rocket Lab is gearing up
to close out 2024 with another set
of back-to-back launches 🚀🚀

December 14-20
HASTE-3…",SNN_MaxQ,0,9
1867108620032159805,2024-12-12 07:25:58+00:00,"$RKLB 

New head of NASA “love[s] everything that Rocket Lab did”. 

How can these times be more exciting ? 

I can’t wait for this new administration to get going and running full speed 

$RKLB #RKLB https://t.co/GTPP0CjfSi",superjambons,46,1
1867011875684458513,2024-12-12 01:01:33+00:00,Tune in... we talkin #rklb  https://t.co/EUjpoiZoBB,Christo43928619,7,0
1866972495775215981,2024-12-11 22:25:04+00:00,"A good day. My top gainers 
#RKLB #RGTI #BTC #PLtR #GEV https://t.co/bfInY2ubGE",johhnyWalkerAZ,2,0
1866972442125549886,2024-12-11 22:24:51+00:00,"A good day. My top gainers 
#RKLB #RGTI #BTC #PLtR #GEV",johhnyWalkerAZ,1,0
1866970788651213170,2024-12-11 22:18:17+00:00,"Rocket Lab Stock: Will It Pull Back or Soar Higher? 🚀 Dive into the $RKLB chart analysis and discover what’s next for this space tech company. 

Watch now: https://t.co/jife3BzoDr

#stocks #trading #fintwit #RKLB",dan_coyle,0,0
1866961567805243510,2024-12-11 21:41:38+00:00,"@HypaWaveNZ @SpaceEquities @francisco_space Haste will be the #starlink for #rklb in many ways (gov side) but better...then we get our own constellation soon after!!??  Current prices are low, very low looking 18-24 months out",Christo43928619,5,0
